id,fase,grup,data,hora_es,datetime_es,equip1,equip2,seu,hora_local,ronda_original
1,Fase de grups,Group A,2026-06-11,21:00,2026-06-11T21:00:00+02:00,Mexico,South Africa,Mexico City,13:00 UTC-6,Matchday 1
2,Fase de grups,Group A,2026-06-12,04:00,2026-06-12T04:00:00+02:00,South Korea,Czech Republic,Guadalajara (Zapopan),20:00 UTC-6,Matchday 1
3,Fase de grups,Group B,2026-06-12,21:00,2026-06-12T21:00:00+02:00,Canada,Bosnia & Herzegovina,Toronto,15:00 UTC-4,Matchday 2
4,Fase de grups,Group D,2026-06-13,03:00,2026-06-13T03:00:00+02:00,USA,Paraguay,Los Angeles (Inglewood),18:00 UTC-7,Matchday 2
5,Fase de grups,Group B,2026-06-13,21:00,2026-06-13T21:00:00+02:00,Qatar,Switzerland,San Francisco Bay Area (Santa Clara),12:00 UTC-7,Matchday 3
6,Fase de grups,Group C,2026-06-14,00:00,2026-06-14T00:00:00+02:00,Brazil,Morocco,New York/New Jersey (East Rutherford),18:00 UTC-4,Matchday 3
7,Fase de grups,Group C,2026-06-14,03:00,2026-06-14T03:00:00+02:00,Haiti,Scotland,Boston (Foxborough),21:00 UTC-4,Matchday 3
8,Fase de grups,Group D,2026-06-14,06:00,2026-06-14T06:00:00+02:00,Australia,Turkey,Vancouver,21:00 UTC-7,Matchday 3
9,Fase de grups,Group E,2026-06-14,19:00,2026-06-14T19:00:00+02:00,Germany,Curaçao,Houston,12:00 UTC-5,Matchday 4
10,Fase de grups,Group F,2026-06-14,22:00,2026-06-14T22:00:00+02:00,Netherlands,Japan,Dallas (Arlington),15:00 UTC-5,Matchday 4
11,Fase de grups,Group E,2026-06-15,01:00,2026-06-15T01:00:00+02:00,Ivory Coast,Ecuador,Philadelphia,19:00 UTC-4,Matchday 4
12,Fase de grups,Group F,2026-06-15,04:00,2026-06-15T04:00:00+02:00,Sweden,Tunisia,Monterrey (Guadalupe),20:00 UTC-6,Matchday 4
13,Fase de grups,Group H,2026-06-15,18:00,2026-06-15T18:00:00+02:00,Spain,Cape Verde,Atlanta,12:00 UTC-4,Matchday 5
14,Fase de grups,Group G,2026-06-15,21:00,2026-06-15T21:00:00+02:00,Belgium,Egypt,Seattle,12:00 UTC-7,Matchday 5
15,Fase de grups,Group H,2026-06-16,00:00,2026-06-16T00:00:00+02:00,Saudi Arabia,Uruguay,Miami (Miami Gardens),18:00 UTC-4,Matchday 5
16,Fase de grups,Group G,2026-06-16,03:00,2026-06-16T03:00:00+02:00,Iran,New Zealand,Los Angeles (Inglewood),18:00 UTC-7,Matchday 5
17,Fase de grups,Group I,2026-06-16,21:00,2026-06-16T21:00:00+02:00,France,Senegal,New York/New Jersey (East Rutherford),15:00 UTC-4,Matchday 6
18,Fase de grups,Group I,2026-06-17,00:00,2026-06-17T00:00:00+02:00,Iraq,Norway,Boston (Foxborough),18:00 UTC-4,Matchday 6
19,Fase de grups,Group J,2026-06-17,03:00,2026-06-17T03:00:00+02:00,Argentina,Algeria,Kansas City,20:00 UTC-5,Matchday 6
20,Fase de grups,Group J,2026-06-17,06:00,2026-06-17T06:00:00+02:00,Austria,Jordan,San Francisco Bay Area (Santa Clara),21:00 UTC-7,Matchday 6
21,Fase de grups,Group K,2026-06-17,19:00,2026-06-17T19:00:00+02:00,Portugal,DR Congo,Houston,12:00 UTC-5,Matchday 7
22,Fase de grups,Group L,2026-06-17,22:00,2026-06-17T22:00:00+02:00,England,Croatia,Dallas (Arlington),15:00 UTC-5,Matchday 7
23,Fase de grups,Group L,2026-06-18,01:00,2026-06-18T01:00:00+02:00,Ghana,Panama,Toronto,19:00 UTC-4,Matchday 7
24,Fase de grups,Group K,2026-06-18,04:00,2026-06-18T04:00:00+02:00,Uzbekistan,Colombia,Mexico City,20:00 UTC-6,Matchday 7
25,Fase de grups,Group A,2026-06-18,18:00,2026-06-18T18:00:00+02:00,Czech Republic,South Africa,Atlanta,12:00 UTC-4,Matchday 8
26,Fase de grups,Group B,2026-06-18,21:00,2026-06-18T21:00:00+02:00,Switzerland,Bosnia & Herzegovina,Los Angeles (Inglewood),12:00 UTC-7,Matchday 8
27,Fase de grups,Group B,2026-06-19,00:00,2026-06-19T00:00:00+02:00,Canada,Qatar,Vancouver,15:00 UTC-7,Matchday 8
28,Fase de grups,Group A,2026-06-19,03:00,2026-06-19T03:00:00+02:00,Mexico,South Korea,Guadalajara (Zapopan),19:00 UTC-6,Matchday 8
29,Fase de grups,Group D,2026-06-19,21:00,2026-06-19T21:00:00+02:00,USA,Australia,Seattle,12:00 UTC-7,Matchday 9
30,Fase de grups,Group C,2026-06-20,00:00,2026-06-20T00:00:00+02:00,Scotland,Morocco,Boston (Foxborough),18:00 UTC-4,Matchday 9
31,Fase de grups,Group C,2026-06-20,02:30,2026-06-20T02:30:00+02:00,Brazil,Haiti,Philadelphia,20:30 UTC-4,Matchday 9
32,Fase de grups,Group D,2026-06-20,05:00,2026-06-20T05:00:00+02:00,Turkey,Paraguay,San Francisco Bay Area (Santa Clara),20:00 UTC-7,Matchday 9
33,Fase de grups,Group F,2026-06-20,19:00,2026-06-20T19:00:00+02:00,Netherlands,Sweden,Houston,12:00 UTC-5,Matchday 10
34,Fase de grups,Group E,2026-06-20,22:00,2026-06-20T22:00:00+02:00,Germany,Ivory Coast,Toronto,16:00 UTC-4,Matchday 10
35,Fase de grups,Group E,2026-06-21,02:00,2026-06-21T02:00:00+02:00,Ecuador,Curaçao,Kansas City,19:00 UTC-5,Matchday 10
36,Fase de grups,Group F,2026-06-21,06:00,2026-06-21T06:00:00+02:00,Tunisia,Japan,Monterrey (Guadalupe),22:00 UTC-6,Matchday 10
37,Fase de grups,Group H,2026-06-21,18:00,2026-06-21T18:00:00+02:00,Spain,Saudi Arabia,Atlanta,12:00 UTC-4,Matchday 11
38,Fase de grups,Group G,2026-06-21,21:00,2026-06-21T21:00:00+02:00,Belgium,Iran,Los Angeles (Inglewood),12:00 UTC-7,Matchday 11
39,Fase de grups,Group H,2026-06-22,00:00,2026-06-22T00:00:00+02:00,Uruguay,Cape Verde,Miami (Miami Gardens),18:00 UTC-4,Matchday 11
40,Fase de grups,Group G,2026-06-22,03:00,2026-06-22T03:00:00+02:00,New Zealand,Egypt,Vancouver,18:00 UTC-7,Matchday 11
41,Fase de grups,Group J,2026-06-22,19:00,2026-06-22T19:00:00+02:00,Argentina,Austria,Dallas (Arlington),12:00 UTC-5,Matchday 12
42,Fase de grups,Group I,2026-06-22,23:00,2026-06-22T23:00:00+02:00,France,Iraq,Philadelphia,17:00 UTC-4,Matchday 12
43,Fase de grups,Group I,2026-06-23,02:00,2026-06-23T02:00:00+02:00,Norway,Senegal,New York/New Jersey (East Rutherford),20:00 UTC-4,Matchday 12
44,Fase de grups,Group J,2026-06-23,05:00,2026-06-23T05:00:00+02:00,Jordan,Algeria,San Francisco Bay Area (Santa Clara),20:00 UTC-7,Matchday 12
45,Fase de grups,Group K,2026-06-23,19:00,2026-06-23T19:00:00+02:00,Portugal,Uzbekistan,Houston,12:00 UTC-5,Matchday 13
46,Fase de grups,Group L,2026-06-23,22:00,2026-06-23T22:00:00+02:00,England,Ghana,Boston (Foxborough),16:00 UTC-4,Matchday 13
47,Fase de grups,Group L,2026-06-24,01:00,2026-06-24T01:00:00+02:00,Panama,Croatia,Toronto,19:00 UTC-4,Matchday 13
48,Fase de grups,Group K,2026-06-24,04:00,2026-06-24T04:00:00+02:00,Colombia,DR Congo,Guadalajara (Zapopan),20:00 UTC-6,Matchday 13
49,Fase de grups,Group B,2026-06-24,21:00,2026-06-24T21:00:00+02:00,Switzerland,Canada,Vancouver,12:00 UTC-7,Matchday 14
50,Fase de grups,Group B,2026-06-24,21:00,2026-06-24T21:00:00+02:00,Bosnia & Herzegovina,Qatar,Seattle,12:00 UTC-7,Matchday 14
51,Fase de grups,Group C,2026-06-25,00:00,2026-06-25T00:00:00+02:00,Scotland,Brazil,Miami (Miami Gardens),18:00 UTC-4,Matchday 14
52,Fase de grups,Group C,2026-06-25,00:00,2026-06-25T00:00:00+02:00,Morocco,Haiti,Atlanta,18:00 UTC-4,Matchday 14
53,Fase de grups,Group A,2026-06-25,03:00,2026-06-25T03:00:00+02:00,Czech Republic,Mexico,Mexico City,19:00 UTC-6,Matchday 14
54,Fase de grups,Group A,2026-06-25,03:00,2026-06-25T03:00:00+02:00,South Africa,South Korea,Monterrey (Guadalupe),19:00 UTC-6,Matchday 14
55,Fase de grups,Group E,2026-06-25,22:00,2026-06-25T22:00:00+02:00,Curaçao,Ivory Coast,Philadelphia,16:00 UTC-4,Matchday 15
56,Fase de grups,Group E,2026-06-25,22:00,2026-06-25T22:00:00+02:00,Ecuador,Germany,New York/New Jersey (East Rutherford),16:00 UTC-4,Matchday 15
57,Fase de grups,Group F,2026-06-26,01:00,2026-06-26T01:00:00+02:00,Japan,Sweden,Dallas (Arlington),18:00 UTC-5,Matchday 15
58,Fase de grups,Group F,2026-06-26,01:00,2026-06-26T01:00:00+02:00,Tunisia,Netherlands,Kansas City,18:00 UTC-5,Matchday 15
59,Fase de grups,Group D,2026-06-26,04:00,2026-06-26T04:00:00+02:00,Turkey,USA,Los Angeles (Inglewood),19:00 UTC-7,Matchday 15
60,Fase de grups,Group D,2026-06-26,04:00,2026-06-26T04:00:00+02:00,Paraguay,Australia,San Francisco Bay Area (Santa Clara),19:00 UTC-7,Matchday 15
61,Fase de grups,Group I,2026-06-26,21:00,2026-06-26T21:00:00+02:00,Norway,France,Boston (Foxborough),15:00 UTC-4,Matchday 16
62,Fase de grups,Group I,2026-06-26,21:00,2026-06-26T21:00:00+02:00,Senegal,Iraq,Toronto,15:00 UTC-4,Matchday 16
63,Fase de grups,Group H,2026-06-27,02:00,2026-06-27T02:00:00+02:00,Cape Verde,Saudi Arabia,Houston,19:00 UTC-5,Matchday 16
64,Fase de grups,Group H,2026-06-27,02:00,2026-06-27T02:00:00+02:00,Uruguay,Spain,Guadalajara (Zapopan),18:00 UTC-6,Matchday 16
65,Fase de grups,Group G,2026-06-27,05:00,2026-06-27T05:00:00+02:00,Egypt,Iran,Seattle,20:00 UTC-7,Matchday 16
66,Fase de grups,Group G,2026-06-27,05:00,2026-06-27T05:00:00+02:00,New Zealand,Belgium,Vancouver,20:00 UTC-7,Matchday 16
67,Fase de grups,Group L,2026-06-27,23:00,2026-06-27T23:00:00+02:00,Panama,England,New York/New Jersey (East Rutherford),17:00 UTC-4,Matchday 17
68,Fase de grups,Group L,2026-06-27,23:00,2026-06-27T23:00:00+02:00,Croatia,Ghana,Philadelphia,17:00 UTC-4,Matchday 17
69,Fase de grups,Group K,2026-06-28,01:30,2026-06-28T01:30:00+02:00,Colombia,Portugal,Miami (Miami Gardens),19:30 UTC-4,Matchday 17
70,Fase de grups,Group K,2026-06-28,01:30,2026-06-28T01:30:00+02:00,DR Congo,Uzbekistan,Atlanta,19:30 UTC-4,Matchday 17
71,Fase de grups,Group J,2026-06-28,04:00,2026-06-28T04:00:00+02:00,Algeria,Austria,Kansas City,21:00 UTC-5,Matchday 17
72,Fase de grups,Group J,2026-06-28,04:00,2026-06-28T04:00:00+02:00,Jordan,Argentina,Dallas (Arlington),21:00 UTC-5,Matchday 17
73,Setzens de final,,2026-06-28,21:00,2026-06-28T21:00:00+02:00,South Africa,Canada,Los Angeles (Inglewood),12:00 UTC-7,Round of 32
74,Setzens de final,,2026-06-29,19:00,2026-06-29T19:00:00+02:00,Brazil,Japan,Houston,12:00 UTC-5,Round of 32
75,Setzens de final,,2026-06-29,22:30,2026-06-29T22:30:00+02:00,Germany,Paraguay,Boston (Foxborough),16:30 UTC-4,Round of 32
76,Setzens de final,,2026-06-30,03:00,2026-06-30T03:00:00+02:00,Netherlands,Morocco,Monterrey (Guadalupe),19:00 UTC-6,Round of 32
77,Setzens de final,,2026-06-30,19:00,2026-06-30T19:00:00+02:00,Ivory Coast,Norway,Dallas (Arlington),12:00 UTC-5,Round of 32
78,Setzens de final,,2026-06-30,23:00,2026-06-30T23:00:00+02:00,France,Sweden,New York/New Jersey (East Rutherford),17:00 UTC-4,Round of 32
79,Setzens de final,,2026-07-01,03:00,2026-07-01T03:00:00+02:00,Mexico,Ecuador,Mexico City,19:00 UTC-6,Round of 32
