partit_id,data,equip1,equip2,gol1,gol2
1,2026-06-11,Mexico,South Africa,2,0
2,2026-06-12,South Korea,Czech Republic,2,1
3,2026-06-12,Canada,Bosnia & Herzegovina,1,1
4,2026-06-13,USA,Paraguay,4,1
5,2026-06-13,Qatar,Switzerland,1,1
6,2026-06-14,Brazil,Morocco,1,1
7,2026-06-14,Haiti,Scotland,0,1
8,2026-06-14,Australia,Turkey,2,0
9,2026-06-14,Germany,Curaçao,7,1
10,2026-06-14,Netherlands,Japan,2,2
11,2026-06-15,Ivory Coast,Ecuador,1,0
12,2026-06-15,Sweden,Tunisia,5,1
13,2026-06-15,Spain,Cape Verde,0,0
14,2026-06-15,Belgium,Egypt,1,1
15,2026-06-16,Saudi Arabia,Uruguay,1,1
16,2026-06-16,Iran,New Zealand,2,2
17,2026-06-16,France,Senegal,3,1
18,2026-06-17,Iraq,Norway,1,4
19,2026-06-17,Argentina,Algeria,3,0
20,2026-06-17,Austria,Jordan,3,1
21,2026-06-17,Portugal,DR Congo,1,1
22,2026-06-17,England,Croatia,4,2
23,2026-06-18,Ghana,Panama,1,0
24,2026-06-18,Uzbekistan,Colombia,1,3
25,2026-06-18,Czech Republic,South Africa,1,1
26,2026-06-18,Switzerland,Bosnia & Herzegovina,4,1
27,2026-06-19,Canada,Qatar,6,0
28,2026-06-19,Mexico,South Korea,1,0
29,2026-06-19,USA,Australia,2,0
30,2026-06-20,Scotland,Morocco,0,1
31,2026-06-20,Brazil,Haiti,3,0
32,2026-06-20,Turkey,Paraguay,0,1
33,2026-06-20,Netherlands,Sweden,5,1
34,2026-06-20,Germany,Ivory Coast,2,1
35,2026-06-21,Ecuador,Curaçao,0,0
36,2026-06-21,Tunisia,Japan,0,4
37,2026-06-21,Spain,Saudi Arabia,4,0
38,2026-06-21,Belgium,Iran,0,0
39,2026-06-22,Uruguay,Cape Verde,2,2
40,2026-06-22,New Zealand,Egypt,1,3
41,2026-06-22,Argentina,Austria,2,0
42,2026-06-22,France,Iraq,3,0
43,2026-06-23,Norway,Senegal,3,2
44,2026-06-23,Jordan,Algeria,1,2
45,2026-06-23,Portugal,Uzbekistan,5,0
46,2026-06-23,England,Ghana,0,0
47,2026-06-24,Panama,Croatia,0,1
48,2026-06-24,Colombia,DR Congo,1,0
49,2026-06-24,Switzerland,Canada,2,1
50,2026-06-24,Bosnia & Herzegovina,Qatar,3,1
51,2026-06-25,Scotland,Brazil,0,3
52,2026-06-25,Morocco,Haiti,4,2
53,2026-06-25,Czech Republic,Mexico,0,3
54,2026-06-25,South Africa,South Korea,1,0
55,2026-06-25,Curaçao,Ivory Coast,0,2
56,2026-06-25,Ecuador,Germany,2,1
57,2026-06-26,Japan,Sweden,1,1
58,2026-06-26,Tunisia,Netherlands,1,3
59,2026-06-26,Turkey,USA,3,2
60,2026-06-26,Paraguay,Australia,0,0
61,2026-06-26,Norway,France,1,4
62,2026-06-26,Senegal,Iraq,5,0
63,2026-06-27,Cape Verde,Saudi Arabia,0,0
64,2026-06-27,Uruguay,Spain,0,1
65,2026-06-27,Egypt,Iran,1,1
66,2026-06-27,New Zealand,Belgium,1,5
67,2026-06-27,Panama,England,0,2
68,2026-06-27,Croatia,Ghana,2,1
69,2026-06-28,Colombia,Portugal,0,0
70,2026-06-28,DR Congo,Uzbekistan,3,1
71,2026-06-28,Algeria,Austria,3,3
72,2026-06-28,Jordan,Argentina,1,3
73,2026-06-28,2A,2B,,
74,2026-06-29,1C,2F,,
75,2026-06-29,1E,3A/B/C/D/F,,
76,2026-06-30,1F,2C,,
77,2026-06-30,2E,2I,,
78,2026-06-30,1I,3C/D/F/G/H,,
79,2026-07-01,1A,3C/E/F/H/I,,
80,2026-07-01,1L,3E/H/I/J/K,,
81,2026-07-01,1G,3A/E/H/I/J,,
82,2026-07-02,1D,3B/E/F/I/J,,
83,2026-07-02,1H,2J,,
84,2026-07-03,2K,2L,,
85,2026-07-03,1B,3E/F/G/I/J,,
86,2026-07-03,2D,2G,,
87,2026-07-04,1J,2H,,
88,2026-07-04,1K,3D/E/I/J/L,,
89,2026-07-04,W73,W75,,
90,2026-07-04,W74,W77,,
91,2026-07-05,W76,W78,,
92,2026-07-06,W79,W80,,
93,2026-07-06,W83,W84,,
94,2026-07-07,W81,W82,,
95,2026-07-07,W86,W88,,
96,2026-07-07,W85,W87,,
97,2026-07-09,W89,W90,,
98,2026-07-10,W93,W94,,
99,2026-07-11,W91,W92,,
100,2026-07-12,W95,W96,,
101,2026-07-14,W97,W98,,
102,2026-07-15,W99,W100,,
103,2026-07-18,L101,L102,,
104,2026-07-19,W101,W102,,
