grup,equip,posicio_final
Group A,Mexico,1
Group A,South Africa,2
Group A,South Korea,3
Group A,Czech Republic,4
Group B,Canada,2
Group B,Bosnia & Herzegovina,3
Group B,Qatar,4
Group B,Switzerland,1
Group C,Brazil,1
Group C,Morocco,2
Group C,Haiti,4
Group C,Scotland,3
Group D,USA,1
Group D,Paraguay,3
Group D,Australia,2
Group D,Turkey,4
Group E,Germany,1
Group E,Curaçao,4
Group E,Ivory Coast,2
Group E,Ecuador,3
Group F,Netherlands,1
Group F,Japan,2
Group F,Sweden,3
Group F,Tunisia,4
Group G,Belgium,
Group G,Egypt,
Group G,Iran,
Group G,New Zealand,
Group H,Spain,
Group H,Cape Verde,
Group H,Saudi Arabia,
Group H,Uruguay,
Group I,France,
Group I,Senegal,
Group I,Iraq,
Group I,Norway,
Group J,Argentina,
Group J,Algeria,
Group J,Austria,
Group J,Jordan,
Group K,Portugal,
Group K,DR Congo,
Group K,Uzbekistan,
Group K,Colombia,
Group L,England,
Group L,Croatia,
Group L,Ghana,
Group L,Panama,
